Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-28 00:00:00,11.4534,,
temp,2024-09-28 01:00:00,11.406,,
temp,2024-09-28 02:00:00,11.4209,,
temp,2024-09-28 03:00:00,11.2409,,
temp,2024-09-28 04:00:00,11.3094,,
temp,2024-09-28 05:00:00,11.3767,,
temp,2024-09-28 06:00:00,11.4148,,
temp,2024-09-28 07:00:00,11.4081,,
temp,2024-09-28 08:00:00,11.372,,
temp,2024-09-28 09:00:00,11.4436,,
temp,2024-09-28 10:00:00,11.5051,,
temp,2024-09-28 11:00:00,11.6573,,
temp,2024-09-28 12:00:00,11.6734,,
temp,2024-09-28 13:00:00,11.9042,,
temp,2024-09-28 14:00:00,12.5105,,
temp,2024-09-28 15:00:00,12.4392,,
temp,2024-09-28 16:00:00,12.2836,,
temp,2024-09-28 17:00:00,12.6444,,
temp,2024-09-28 18:00:00,12.487,,
temp,2024-09-28 19:00:00,12.8578,,
temp,2024-09-28 20:00:00,12.8197,,
temp,2024-09-28 21:00:00,12.5604,,
temp,2024-09-28 22:00:00,12.5132,,
temp,2024-09-28 23:00:00,12.3733,,
